CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,07/08/2024 01:30:00 PM,24-034052,VEHICLE THEFT - AUTO,24X,3945 SAN JUAN ST,Oakland,CA,POINT (-122.21480596 37.778345993)
,06/06/2024 12:00:00 PM,24-028351,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
,07/26/2024 09:37:00 PM,24-037290,VEHICLE THEFT - AUTO,35Y,87 COVINGTON ST,Oakland,CA,POINT (-122.139006237 37.736918176)
,07/22/2024 12:46:00 AM,24-036373,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,1200 BLOCK OF 73RD AV,Oakland,CA,POINT (-122.188415472 37.75841925)
VANDALISM,07/05/2024 06:05:00 PM,24-910203,VANDALISM,19X,255 9TH AV,Oakland,CA,POINT (-122.256297973 37.787900985)
ROBBERY,06/02/2024 11:42:00 AM,24-027279,ROBBERY-FIREARM,31Y,98TH AV & WALTER AV,Oakland,CA,POINT (-122.182657003 37.736975014)
,06/30/2024 05:20:00 AM,24-032481,SC UNEXPLAINED DEATH,24Y,3145 HIGH ST (REDWOOD HEALTH CARE CENTER),Oakland,CA,POINT (-122.199468 37.785751)
NARCOTICS,06/21/2024 12:09:00 PM,24-030838,POSSESS/PURCHASE COCAINE BASE FOR SALE,21Y,PLEITNER AV & SCHOOL ST,Oakland,CA,POINT (-122.211295032 37.794191017)
,06/27/2024 12:00:00 AM,24-910584,BURGLARY-NO FORCE,35Y,390.       DRIV MARLOW DRIVE,Oakland,CA,POINT (-122.138093022 37.731865993)
MISDEMEANOR ASSAULT,06/30/2024 05:00:00 PM,24-032577,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,23X,1576 34TH AV,Oakland,CA,POINT (-122.221851033 37.779623018)
,07/29/2024 12:29:00 AM,24-038000,ATTEMPTED GRAND THEFT,27X,5285 FOOTHILL BLVD,Oakland,CA,POINT (-122.201057386 37.772570915)
,07/25/2024 09:45:00 AM,24-037007,VEHICLE THEFT - AUTO,32Y,MACARTHUR BLVD&WARNER AV,Oakland,CA,POINT (-122.15799803 37.74859602)
,08/10/2024 06:00:00 PM,24-039970,BATTERY W/SERIOUS BODILY INJURY,30X,1950 81ST AVE,Oakland,CA,POINT (-122.173315958 37.759444005)
,07/14/2024 02:46:00 PM,24-035123,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,14X,441 LEE ST,Oakland,CA,POINT (-122.257131972 37.810177988)
,06/16/2024 12:46:00 PM,24-029859,EXHIBIT F/ARM THRTNG MANR,05X,W GRAND AVE AND BRUSH ST,Oakland,CA,POINT (-122.274614024 37.81298601)
,06/25/2024 10:35:00 PM,24-911135,BURGLARY-AUTO,35Y,10630 MARK ST,Oakland,CA,POINT (-122.143583001 37.747201984)
,07/19/2024 04:47:00 PM,24-035990,BATTERY,27X,48TH AVE & FOOTHILL BLVD,Oakland,CA,POINT (-122.207662986 37.772706984)
,06/21/2024 08:40:00 AM,24-910197,GRAND THEFT,10X,968 54TH ST,Oakland,CA,POINT (-122.277069 37.838632999)
DOMESTIC VIOLENCE,06/19/2024 04:00:00 PM,24-030526,THREAT CRIME:INT:TERRORIZE,22Y,3238 BRUNELL DR,Oakland,CA,POINT (-122.186943005 37.806078986)
ROBBERY,05/30/2024 04:24:00 PM,24-026826,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14Y,470 LAKE PARK AV,Oakland,CA,POINT (-122.247297988 37.81117598)
,06/13/2024 12:00:00 PM,24-029458,VEHICLE THEFT - AUTO,22X,2438 CARMEL ST,Oakland,CA,POINT (-122.208055007 37.804424985)
,05/31/2024 04:00:00 PM,24-027152,VEHICLE THEFT - AUTO,17X,CITY STREET CORNER OF 4TH AVE/ E 17TH ST,Oakland,CA,POINT (-122.245311146 37.792630015)
,06/26/2024 09:30:00 AM,24-909259,BURGLARY-AUTO,20X,2825 INTERNATIONAL BOULEVARD,Oakland,CA,POINT (-122.230817993 37.779456008)
PETTY THEFT,06/03/2024 12:00:00 AM,24-027604,THEFT,32X,10817 PACKARD ST,Oakland,CA,POINT (-122.162500034 37.73818599)
,07/29/2024 05:15:00 AM,24-911762,VANDALISM,11X,524 58TH ST,Oakland,CA,POINT (-122.262407961 37.844146992)
,07/11/2024 12:41:00 AM,24-034524,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,29X,6405 BRANN ST,Oakland,CA,POINT (-122.183230995 37.771325017)
,05/29/2024 11:00:00 PM,24-911380,BURGLARY-NO FORCE,35X,9500 STEARNS AVE,Oakland,CA,POINT (-122.154611993 37.75333498)
DOMESTIC VIOLENCE,06/18/2024 08:59:00 AM,24-030278,INFLICT CRPL INJ SP/COHAB,13Z,6500 OAKWOOD DR,Oakland,CA,POINT (-122.200476007 37.839436991)
ROBBERY,06/20/2024 05:02:00 PM,24-030702,ROBBERY-FIREARM,19X,17TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.243133021 37.787707992)
FELONY ASSAULT,05/19/2024 01:00:00 PM,24-024749,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,09X,250 WHITMORE ST,Oakland,CA,POINT (-122.251000024 37.833366984)
ROBBERY,06/26/2024 03:12:00 PM,24-031919,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,30X,1927 73RD AV,Oakland,CA,POINT (-122.182447149 37.762407115)
DOMESTIC VIOLENCE,06/17/2024 09:40:00 AM,24-030065,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,20X,2555 FOOTHILL BLVD,Oakland,CA,POINT (-122.230381967 37.784331007)
,05/29/2024 05:37:00 AM,24-026436,BURGLARY-FORCIBLE ENTRY,19X,646 KENNEDY ST,Oakland,CA,POINT (-122.237096961 37.776108988)
FELONY ASSAULT,07/12/2024 02:30:00 PM,24-034804,VANDALISM,08X,476 34TH ST,Oakland,CA,POINT (-122.264852963 37.82250102)
NARCOTICS,05/24/2024 05:43:00 PM,24-025687,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,07X,2400 WOOD ST,Oakland,CA,POINT (-122.292034842 37.820432888)
STOLEN AND RECOVERED VEHICLE,05/26/2024 06:00:00 PM,24-909445,ATTEMPT VEHICLE THEFT-AUTO,35X,DOWLING ST & AUSEON AV,Oakland,CA,POINT (-122.165925969 37.757110986)
,05/26/2024 04:00:00 AM,24-908835,VANDALISM,06X,971 34TH ST,Oakland,CA,POINT (-122.27710303 37.824880014)
STOLEN VEHICLE,05/17/2024 08:00:00 PM,24-024545,VEHICLE THEFT - AUTO,25X,3671 MADRONE AV,Oakland,CA,POINT (-122.192812014 37.787706986)
,06/16/2024 03:00:00 AM,24-029869,OFFENSIVE WORDS IN PUBLIC PLACE,23X,4256 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.214864968 37.772676012)
BURG - AUTO,06/25/2024 06:32:00 AM,24-031633,BURGLARY-AUTO,12Y,6230 CLAREMONT AV,Oakland,CA,POINT (-122.251535962 37.849937001)
,06/17/2024 05:00:00 PM,24-030458,VEHICLE THEFT - AUTO,19X,522 11TH ST,Oakland,CA,POINT (-122.274136102 37.802976986)
,08/06/2024 07:00:00 AM,24-039704,THEFT:PERSONAL PROPERTY,22Y,3058 GEORGIA ST,Oakland,CA,POINT (-122.204284995 37.796205984)
,08/05/2024 01:53:00 AM,24-038876,VIOLATION OF PROBATION-MISD,34X,1668 86TH AVE,Oakland,CA,POINT (-122.17360899 37.754146013)
VANDALISM,05/28/2024 04:58:00 PM,24-909164,VANDALISM,32Y,9801 MACARTHUR BLVD,Oakland,CA,POINT (-122.158945018 37.74961199)
,08/03/2024 10:00:00 AM,24-911523,BURGLARY-AUTO,20X,1092 CALCOT PLACE,Oakland,CA,POINT (-122.237496023 37.781477011)
,07/09/2024 09:00:00 AM,24-910722,BURGLARY-AUTO,14Y,465 ELWOOD AVE,Oakland,CA,POINT (-122.247158011 37.813961998)
,07/29/2024 02:00:00 PM,24-911162,ATTEMPT VEHICLE THEFT-AUTO,09X,4466 VIEW PLACE,Oakland,CA,POINT (-122.248714027 37.83265402)
,05/30/2024 01:31:00 PM,24-026794,SELL/ETC LIQUOR TO MINOR,19X,739 E12 ST,Oakland,CA,POINT (-122.253051997 37.793056987)
ROBBERY,07/05/2024 06:23:00 PM,24-033491,CRUELTY TO ELDER/DEPENDENT ADULT WITH LIKELY GBI OR DEATH,10X,5516 SAN PABLO AV,Oakland,CA,POINT (-122.282191056 37.83868616)
,07/18/2024 07:30:00 PM,24-910735,BURGLARY-AUTO,22X,3463 CHAMPION ST,Oakland,CA,POINT (-122.215222037 37.799601996)
,07/11/2024 11:13:00 PM,24-034691,DISTURB THE PEACE,02Y,206 PALISADE DRIVE,Oakland,CA,POINT (-122.299712041 37.812693984)
,06/22/2024 07:08:00 PM,24-909377,THEFT,31X,285 HEGENBERGER,Oakland,CA,POINT (-122.198703989 37.733352984)
PETTY THEFT,06/13/2024 12:00:00 PM,24-029501,THEFT,16Y,1627 EXCELSIOR AV,Oakland,CA,POINT (-122.22286298 37.80156399)
,06/11/2024 10:23:00 PM,24-029090,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,9332 ST,Oakland,CA,POINT (-122.178546014 37.744570988)
PETTY THEFT,07/22/2024 05:00:00 PM,24-036739,THEFT,29X,2812 64TH AV,Oakland,CA,POINT (-122.183978093 37.771058888)
,06/11/2024 12:01:00 AM,24-908698,GRAND THEFT,24Y,3488 DAVIS ST,Oakland,CA,POINT (-122.214370017 37.786360014)
,07/25/2024 10:00:00 AM,24-037037,VEHICLE THEFT - AUTO,14Y,401 SANTA CLARA AV,Oakland,CA,POINT (-122.248792985 37.812971006)
STOLEN VEHICLE,07/28/2024 06:25:00 PM,24-037748,VEHICLE THEFT - AUTO,30Y,3923 KELLER AV,Oakland,CA,POINT (-122.157177183 37.771319391)
,08/12/2024 02:22:00 AM,24-040179,VEHICLE THEFT - AUTO,27Y,2644 64TH AVE,Oakland,CA,POINT (-122.185396455 37.769819069)
,06/05/2024 03:00:00 AM,24-027827,THEFT,17X,IFO 2450 14TH AV,Oakland,CA,POINT (-122.235528958 37.795413014)
,08/03/2024 02:46:00 AM,24-038571,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,25X,5500 BLOCK OF GRIFFIN ST,Oakland,CA,POINT (-122.176377365 37.785332345)
RECOVERED O/S STOLEN,06/09/2024 09:23:00 AM,24-028474,RECEIVE/ETC KNOWN STOLEN PROPERTY,26X,500 INDEPENDENT RD,Oakland,CA,POINT (-122.208119967 37.755434982)
,05/25/2024 03:00:00 AM,24-025877,VEHICLE THEFT - AUTO,14X,306 LEE ST,Oakland,CA,POINT (-122.256023969 37.811727006)
,07/21/2024 03:30:00 PM,24-036339,VEHICLE THEFT - AUTO,08X,540 28TH ST,Oakland,CA,POINT (-122.268759013 37.817906019)
STOLEN VEHICLE,05/22/2024 05:15:00 AM,24-025299,VEHICLE THEFT - AUTO,19X,1103 EMBARCADERO,Oakland,CA,POINT (-122.25265897 37.788101983)
,07/13/2024 05:25:00 PM,24-910445,BURGLARY-AUTO,09X,4171 PIEDMONT AVE,Oakland,CA,POINT (-122.251327683 37.827300477)
,06/21/2024 07:33:00 PM,24-911367,BURGLARY-NO FORCE,23X,301 HIGH ST,Oakland,CA,POINT (-122.224285976 37.765592005)
BURG - AUTO,05/17/2024 12:00:00 PM,24-907815,BURGLARY-AUTO,31Y,566 HEGENBERGER RD,Oakland,CA,POINT (-122.195509981 37.744888998)
MISDEMEANOR ASSAULT,06/30/2024 04:18:00 PM,24-032570,THEFT,12X,5055 TELEGRAPH AV,Oakland,CA,POINT (-122.262635027 37.836899999)
,07/09/2024 12:11:00 AM,24-034141,BURGLARY-FORCIBLE ENTRY,30Y,7301 MACARTHUR BLVD,Oakland,CA,POINT (-122.172085998 37.768858014)
,06/20/2024 07:24:00 PM,24-030718,VEHICLE THEFT - AUTO,28X,4673 REDDING ST,Oakland,CA,POINT (-122.191781961 37.783688995)
,07/16/2024 12:45:00 AM,24-910524,BURGLARY-AUTO,32Y,10416 FOOTHILL BOULEVARD,Oakland,CA,POINT (-122.151163263 37.745130005)
FELONY ASSAULT,05/23/2024 08:09:00 AM,24-025411,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,29X,6801 MACARTHUR BLVD,Oakland,CA,POINT (-122.176397984 37.770992004)
STOLEN VEHICLE,06/09/2024 06:19:00 AM,24-028545,VEHICLE THEFT - AUTO,32Y,2374 109TH AV,Oakland,CA,POINT (-122.152940977 37.740240981)
,08/08/2024 11:37:00 PM,24-039650,SC DOMESTIC VERBAL,34X,9532 CHERRY ST,Oakland,CA,POINT (-122.167288029 37.748252991)
,06/01/2024 12:00:00 PM,24-030881,VEHICLE THEFT - AUTO,21Y,2600 FRUITVALE AV,Oakland,CA,POINT (-122.220339022 37.789263002)
NARCOTICS,07/27/2024 07:55:00 AM,24-037497,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,08X,464 W MACARTHUR BLVD,Oakland,CA,POINT (-122.263700032 37.82596501)
,06/28/2024 07:30:00 PM,24-909677,BURGLARY-AUTO,12X,4000 SHAFTER AVE,Oakland,CA,POINT (-122.259726317 37.828291957)
STOLEN VEHICLE,06/13/2024 09:00:00 PM,24-029564,VEHICLE THEFT - AUTO,18Y,2840 22ND AV,Oakland,CA,POINT (-122.227006993 37.795499013)
OTHER,06/16/2024 11:55:00 AM,24-029914,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,34X,9501 BANCROFT AV,Oakland,CA,POINT (-122.163617007 37.750127016)
,05/17/2024 05:00:00 PM,24-024524,VEHICLE THEFT - AUTO,09X,3843 HOWE ST,Oakland,CA,POINT (-122.255711994 37.82558401)
MISDEMEANOR ASSAULT,05/20/2024 08:30:00 PM,24-024975,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,25X,35TH AV & QUIGLEY LN,Oakland,CA,POINT (-122.20206203 37.792998984)
,06/18/2024 06:23:00 PM,24-030374,DISORDERLY CONDUCT:PROSTITUTION,19X,1000 15TH AV,Oakland,CA,POINT (-122.280185438 37.808769135)
RECOVERED O/S STOLEN,05/24/2024 09:26:00 AM,24-025583,VEHICLE THEFT - AUTO,18X,1900 17TH AV,Oakland,CA,POINT (-122.239875185 37.791093349)
STOLEN VEHICLE,05/16/2024 04:00:00 AM,24-024415,VEHICLE THEFT - AUTO,28X,3142 MAXWELL AV,Oakland,CA,POINT (-122.192842021 37.780915004)
,07/21/2024 03:45:00 PM,24-036321,THEFT,01X,317 BROADWAY (NATIONS HAMBURGERS),Oakland,CA,POINT (-122.275972 37.797249)
,07/15/2024 03:01:00 PM,24-035387,VEHICLE THEFT - AUTO,25X,4868 CALAVARES AVE.,Oakland,CA,POINT (-122.188301963 37.784865982)
OTHER,07/01/2024 10:03:00 AM,24-032680,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,03X,360 8TH ST,Oakland,CA,POINT (-122.271683175 37.799444125)
STOLEN VEHICLE,07/09/2024 04:27:00 AM,24-034143,VEHICLE THEFT - AUTO,10X,1050 67TH ST,Oakland,CA,POINT (-122.28379114 37.850274651)
BURG - AUTO,06/27/2024 10:30:00 AM,24-909351,BURGLARY-AUTO,03Y,827 WASHINGTON ST,Oakland,CA,POINT (-122.274970004 37.80126199)
,07/26/2024 08:00:00 PM,24-037283,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17X,818 E 20TH ST,Oakland,CA,POINT (-122.245299994 37.797376014)
ROBBERY,06/05/2024 07:26:00 PM,24-027895,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",08X,40TH ST & TELEGRAPH AVE,Oakland,CA,POINT (-122.264463958 37.829089993)
,07/23/2024 04:18:00 AM,24-036558,BURGLARY-FORCIBLE ENTRY,10X,5412 SAN PABLO AVE,Oakland,CA,POINT (-122.281767978 37.838046014)
OTHER SEX OFFENSES,06/13/2024 05:18:00 PM,24-029457,DISTURB THE PEACE,34X,92ND AV & HOLLY ST,Oakland,CA,POINT (-122.172617997 37.749248006)
,07/28/2024 06:54:00 PM,24-037736,VANDALISM,07X,2601 WOOD ST,Oakland,CA,POINT (-122.291313038 37.822177018)
BURG - AUTO,06/04/2024 10:55:00 PM,24-908443,BURGLARY-AUTO,77X,16TH ST,Oakland,CA,POINT (-122.273460657 37.806887175)
DOMESTIC VIOLENCE,05/30/2024 06:45:00 PM,24-026993,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,1700 WEBSTER ST,Oakland,CA,POINT (-122.266816004 37.805847981)
ROBBERY,08/11/2024 06:00:00 PM,24-040134,BATTERY:SERIOUS BODILY INJ,19X,1507 2ND AV,Oakland,CA,POINT (-122.255141019 37.799082989)
PETTY THEFT,05/17/2024 07:00:00 AM,24-025376,THEFT,28X,4500 ALLENDALE AV,Oakland,CA,POINT (-122.200753029 37.781967017)
ROBBERY,05/31/2024 06:28:00 AM,24-026921,ROBBERY-FIREARM,19X,2201 E 15TH ST,Oakland,CA,POINT (-122.237086614 37.785321893)
BURG - AUTO,06/16/2024 08:00:00 AM,24-910802,BURGLARY-AUTO,09X,3600 BROADWAY,Oakland,CA,POINT (-122.258236959 37.823493983)
,06/15/2024 11:08:00 AM,24-029720,VEHICLE THEFT - AUTO,17X,806 E. 24TH ST,Oakland,CA,POINT (-122.241829987 37.79998408)
PETTY THEFT,07/12/2024 08:00:00 PM,24-034975,THEFT,22Y,4027 BARNER AV,Oakland,CA,POINT (-122.202417004 37.803303989)
BURG - AUTO,07/16/2024 04:00:00 AM,24-035450,BURGLARY-AUTO,22X,3565 DIMOND AV,Oakland,CA,POINT (-122.21725599 37.802000981)
VANDALISM,05/26/2024 09:06:00 PM,24-026014,BATTERY,28X,3200 KNOWLAND AV,Oakland,CA,POINT (-122.19556002 37.782241985)
DOMESTIC VIOLENCE,06/17/2024 06:48:00 PM,24-030181,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,28X,2563 55TH AV,Oakland,CA,POINT (-122.19371399 37.774425986)
WEAPONS,07/31/2024 04:30:00 PM,24-038195,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,07X,2539 MARKET ST,Oakland,CA,POINT (-122.27788699 37.817454989)
,08/10/2024 06:00:00 PM,24-040055,VEHICLE THEFT - AUTO,27Y,1828 VICKSBURG AVE,Oakland,CA,POINT (-122.202827969 37.772379)
,07/06/2024 11:45:00 PM,24-909772,BURGLARY-AUTO,12X,501 42ND ST,Oakland,CA,POINT (-122.264300917 37.83084646)
BURG - AUTO,06/29/2024 11:15:00 AM,24-909691,BURGLARY-AUTO,31X,451 HEGENBERGER RD,Oakland,CA,POINT (-122.197289039 37.737543014)
STOLEN VEHICLE,06/14/2024 02:30:00 PM,24-030125,VEHICLE THEFT - AUTO,33X,9509 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.172192029 37.746042012)
WEAPONS,07/17/2024 08:00:00 AM,24-034372,POSSESSION OF A MACHINE GUN,99X,622 SUNSET BLVD,Oakland,CA,POINT (-122.217441124 37.791096778)
,06/08/2024 02:27:00 PM,24-028367,VEHICLE THEFT - AUTO,08X,3330 BROADWAY,Oakland,CA,POINT (-122.260140992 37.821472016)
,06/20/2024 10:35:00 PM,24-910986,THEFT BY USE OF ACCESS CARD,31X,303 HEGENBERGER ROAD,Oakland,CA,POINT (-122.198219012 37.734917005)
,07/03/2024 09:35:00 AM,24-033052,EVADE TAXES ON CIGARETTES/ETC,23X,3820 SAN LEANDRO ST,Oakland,CA,POINT (-122.220770019 37.772553008)
,07/03/2024 11:00:00 AM,24-033072,BATTERY,26Y,7200 HERBERT GUICE WY,Oakland,CA,POINT (-122.189425007 37.758526845)
,06/06/2024 05:00:00 PM,24-028092,VEHICLE THEFT - AUTO,07X,2940 LINDEN ST,Oakland,CA,POINT (-122.279297999 37.821350981)
,07/09/2024 11:12:00 AM,24-034190,BATTERY,02X,7TH ST & KIRKHAM ST,Oakland,CA,POINT (-122.292364129 37.804700917)
,05/20/2024 02:28:00 AM,24-024813,ATTEMPTED BURGLARY,26X,4344 JENSEN ST,Oakland,CA,POINT (-122.220623001 37.767020994)
DOMESTIC VIOLENCE,07/24/2024 10:00:00 AM,24-036830,INFLICT CRPL INJ SP/COHAB,19X,1516 1ST AV,Oakland,CA,POINT (-122.255751976 37.799390982)
,05/30/2024 09:00:00 PM,24-026931,VEHICLE THEFT - AUTO,15X,315 WAYNE PLACE,Oakland,CA,POINT (-122.251362038 37.800273009)
,06/06/2024 02:00:00 AM,24-027947,BURGLARY-FORCIBLE ENTRY,12X,4514 TELEGRAPH AVE,Oakland,CA,POINT (-122.262954964 37.833523014)
STOLEN VEHICLE,07/09/2024 07:00:00 PM,24-034473,VEHICLE THEFT - AUTO,23X,1572 33RD AV,Oakland,CA,POINT (-122.223293978 37.779681984)
,06/05/2024 03:22:00 PM,24-027846,THEFT,31Y,501 85TH AV,Oakland,CA,POINT (-122.193195989 37.739554)
,06/05/2024 11:41:00 PM,24-027926,VANDALISM-$400+,22X,3544 FRUITVALE AV,Oakland,CA,POINT (-122.215623028 37.801045989)
STOLEN VEHICLE,06/18/2024 02:00:00 PM,24-030357,VEHICLE THEFT - AUTO,08X,471 26TH ST,Oakland,CA,POINT (-122.268024417 37.815373395)
,06/11/2024 09:00:00 PM,24-909926,BURGLARY-AUTO,11X,740 54TH ST,Oakland,CA,POINT (-122.268189966 37.839275011)
PETTY THEFT,07/16/2024 12:00:00 PM,24-036888,THEFT,15X,310 PORTLAND AV,Oakland,CA,POINT (-122.246095018 37.801848011)
,07/31/2024 06:25:00 AM,24-911480,BURGLARY-NO FORCE,22X,4368 LINCOLN AVE,Oakland,CA,POINT (-122.20359902 37.807529014)
PETTY THEFT,08/04/2024 09:30:00 AM,24-038752,THEFT,02X,900 MARKET ST,Oakland,CA,POINT (-122.28141904 37.80340298)
,08/01/2024 10:30:00 AM,24-038301,VEHICLE THEFT - AUTO,27X,57TH AVE AND SCOVILLE ST,Oakland,CA,POINT (-122.198616984 37.768212984)
ROBBERY,05/24/2024 05:00:00 PM,24-025666,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",28X,3434 HIGH ST,Oakland,CA,POINT (-122.196236021 37.78598199)
,05/21/2024 07:00:00 AM,24-025497,VEHICLE THEFT - OTHER VEHICLES,12Y,7TH ST. AND CASTRO ST.,Oakland,CA,POINT (-122.279983387 37.801739717)
RECOVERED O/S STOLEN,06/01/2024 08:27:00 AM,24-027124,VEHICLE THEFT - AUTO,12X,451 44TH ST,Oakland,CA,POINT (-122.26115998 37.832311996)
STOLEN VEHICLE,05/18/2024 07:00:00 PM,24-024734,VEHICLE THEFT - AUTO,22X,3941 LINCOLN AV,Oakland,CA,POINT (-122.209833982 37.804330982)
,07/29/2024 10:05:00 AM,24-911738,VANDALISM,09X,175 41ST ST,Oakland,CA,POINT (-122.253176971 37.82667701)
,07/25/2024 09:00:00 PM,24-037256,VEHICLE THEFT - AUTO,25X,3540 HARBOR VIEW AV,Oakland,CA,POINT (-122.193746009 37.796868993)
,06/06/2024 09:00:00 AM,24-028034,TRESPASS:OBSTRUCT/ETC BUSINESS OF PUBLIC AGENCY,14X,699 BELLEVUE AV,Oakland,CA,POINT (-122.259308163 37.809550099)
,06/28/2024 06:30:00 PM,24-032395,VEHICLE THEFT - AUTO,15X,2122 LAKESHORE AV,Oakland,CA,POINT (-122.250447991 37.804603017)
DISORDERLY CONDUCT,07/05/2024 03:00:00 PM,24-033856,DISTURB THE PEACE,18X,1718 15TH AV,Oakland,CA,POINT (-122.242350989 37.791617982)
,06/14/2024 01:42:00 AM,24-029524,TRESPASSING,23X,3410 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.223376959 37.776810009)
STOLEN VEHICLE,07/06/2024 10:00:00 PM,24-033946,VEHICLE THEFT - AUTO,35X,2216 AUSEON AV,Oakland,CA,POINT (-122.16734402 37.756247985)
,06/19/2024 12:00:00 PM,24-030446,VANDALISM (AMENDED),02Y,1789 GOSS ST,Oakland,CA,POINT (-122.303398988 37.80782502)
,06/02/2024 12:40:00 AM,24-908335,ATTEMPT VEHICLE THEFT-AUTO,25Y,5198 PINECREST DRIVE,Oakland,CA,POINT (-122.141495991 37.777355)
,06/27/2024 03:35:00 AM,24-909702,GRAND THEFT,17Y,907 E 22ND ST,Oakland,CA,POINT (-122.243117626 37.797981278)
FELONY ASSAULT,07/06/2024 11:07:00 PM,24-033800,VIOLATION OF PROBATION-MISD,33X,81ST AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.180666384 37.756080389)
STOLEN VEHICLE,07/12/2024 08:30:00 AM,24-034926,VEHICLE THEFT - AUTO,27Y,1630 57TH AV,Oakland,CA,POINT (-122.199162882 37.767762432)
,05/17/2024 11:30:00 AM,24-024386,SC KIDNAPPING,32Y,10809 MCINTYRE ST,Oakland,CA,POINT (-122.148599989 37.742187007)
DOMESTIC VIOLENCE,06/06/2024 12:49:00 PM,24-028011,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,35Y,4412 TURNER AV,Oakland,CA,POINT (-122.123787041 37.745589012)
,07/17/2024 06:00:00 AM,24-034385,BURGLARY-FORCIBLE ENTRY,20X,1500 27TH AV,Oakland,CA,POINT (-122.230351037 37.781438999)
BURG - AUTO,07/06/2024 12:20:00 AM,24-033579,BURGLARY-AUTO,04X,19TH ST & BROADWAY,Oakland,CA,POINT (-122.269011979 37.807779004)
,08/08/2024 11:55:00 AM,24-911782,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,,7011 MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.174647912 37.770300338)
,06/30/2024 06:30:00 PM,24-911243,BURGLARY-NO FORCE,20X,2615 E 12TH ST,Oakland,CA,POINT (-122.232758991 37.779350019)
,07/04/2024 10:48:00 AM,24-033233,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,24Y,4139 PENNIMAN AV,Oakland,CA,POINT (-122.202002016 37.784764016)
,05/23/2024 11:10:00 AM,24-025449,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,29X,6319 BUENA VENTURA AVE,Oakland,CA,POINT (-122.176545003 37.776753012)
,07/11/2024 04:32:00 AM,24-034541,BURGLARY-AUTO,04X,1633 HARRISON ST,Oakland,CA,POINT (-122.266621041 37.805198006)
,05/23/2024 03:50:00 PM,24-908952,GRAND THEFT,16Y,1551 MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.224485968 37.800412987)
,08/11/2024 04:24:00 AM,24-040035,ROBBERY-FIREARM,24X,4149 FOOTHILL BLVD,Oakland,CA,POINT (-122.21329596 37.775716003)
BURG - AUTO,05/30/2024 02:36:00 PM,23-056068,BURGLARY,04X,1520 LAKESIDE DR,Oakland,CA,POINT (-122.261483018 37.802216982)
,07/27/2024 12:05:00 AM,24-911138,VANDALISM,30Y,7733 GREENLY DRIVE,Oakland,CA,POINT (-122.161772988 37.770925997)
,06/18/2024 09:45:00 AM,24-030276,BATTERY,23X,1817 ROSEDALE AV,Oakland,CA,POINT (-122.215510962 37.77676898)
,05/20/2024 04:28:00 PM,24-907873,BURGLARY-AUTO,07X,3535 HOLLIS ST,Oakland,CA,POINT (-122.28542098 37.828071005)
ROBBERY,07/13/2024 03:42:00 PM,24-034959,ROBBERY-FIREARM,31Y,PARDEE DR & HEGENBERGER RD,Oakland,CA,POINT (-122.200274003 37.729682004)
,07/14/2024 04:07:00 PM,24-035130,VEHICLE THEFT - AUTO,16Y,1677 EXCELSIOR AVE.,Oakland,CA,POINT (-122.221737961 37.801372003)
